RS;archive/general area;detail in general;loc;pt;depth;script;genre;date;scribe;origin;bibliography;museal sig;col
20.206;House of Rapanu;;Rap7;1837;1.70;s-su;Hh 5-;;;u;;D 5375;
20.236;House of Rapanu;;Rap7;1848;1.70;s-ak;J;;;u;U5,n85;D 5400;
20.255A;House of Rapanu;;Rap7;1838;1.60;s-ak;LeI;;;h;U5,n30;D 5414;
20.255B;House of Rapanu;;Rap7;1838;;a-ug;E;;;u;4.701;D -;
20.427B;House of Rapanu;;Rap7;1837;;s-su;?;;;;;D -;
20.427C;House of Rapanu;;Rap7;1837;;;;;;;;D -;
20.427D;House of Rapanu;;Rap7;1837;;;;;;;;D -;
20.198B+20.198D+20.427+20.427A;House of Rapanu;;Rap6|Rap7;1821|1837;;s-su;Hh 11-;;;u;;D -|D 5416;
20.023;House of Rapanu;;Rap6/7;1827;1.45;s-ak;Le;;;;U5,n54;D 5286;
20.142A;House of Rapanu;;Rap6/7;1827;1.45;s-su-ak;Lex;;;;;D -;
20.142B(+)20.142C;House of Rapanu;;Rap6/7;1827;;s-su-ak;Izi, app;;;u;;D -;
20.142D+20.142E;House of Rapanu;;Rap6/7;1827;;s-;;;;;;D -;
20.142F;House of Rapanu;;Rap6/7;1827;;;;;;;;;
20.143B;House of Rapanu;;Rap6/7;1827;;s-ak;E;;;u;;D -;
20.004;House of Rapanu;;Rap6;1859;1.70;s-ak;E;;;u;U5,nl00;D 5267;
20.006;House of Rapanu;;Rap6;1807;0.40;s-ak;M;;;u?;U5,nl9;D 5269;**
20.011;House of Rapanu;;Rap6;1796;1.30;s-su-ak;Svo;;;u;ASIÓ, 38-;D 5274;**
20.015;House of Rapanu;;Rap6;1811;0.60;s-ak;Le;;;;U5,n53;D 5278;
20.017.;House of Rapanu;;Rap6;1808;0.50;s-ak;LeI;;;uš?;U5,n43;D 5280;
20.018;House of Rapanu;;Rap6;1808;;s-ak;LeI;;;al;U5,n22;D 5281;
20.022;House of Rapanu;;Rap6;1811;0.60;s-ak;LeI;A-2;;k;U5,n27;D 5285;
20.033;House of Rapanu;;Rap6;1864;1.60;s-ak;Le;;;;U5,n20;D 5290;
20.135+21.063C;House of Rapanu;;Rap6;1811|ib.;0.60/;s-su;SaS;;;u;U5,nll3|U5,nll7;D 5307|D -;
20.136;House of Rapanu;;Rap6;1811;;s-su;G;;;u;;D 5308;
20.153;House of Rapanu;;Rap6;1811;0.60;s-su;(acroph.;;;u;;D 5325;
20.155;House of Rapanu;;Rap6;1811;0.60;s-su;Sal, uai;;;u;AS 16,29;D 5327;
20.166A+20.166B+20.228A;House of Rapanu;;Rap6;1811|1807;0.60|0.40;s-su;RSGT;;;u;MSS75-;D -|D 5339;
20.178;House of Rapanu;;Rap6;1811;0.60;s-ak;Le;;;u;U5,n55;D 5350;
20.179A+20.179B+20.188A+20.188B;House of Rapanu;;Rap6;1859;1.70;s-su;Hh 21-;;;u;Ml 1,43;D -|D 5351;
20.179[D];House of Rapanu;;Rap6;1859;;;;;;;frg.;D -;
20.197B;House of Rapanu;;Rap6;1811;;s-su;Hh 2;;;u;;D -;
20.197D;House of Rapanu;;Rap6;1811;;s-su-ak;Lex;;;;;D -;
20.197F;House of Rapanu;;Rap6;1811;;s-su;G;;;u;U5,nl42;D -;
20.197G;House of Rapanu;;Rap6;1811;;;;;;;frg-;D -;
20.198A[bis];House of Rapanu;;Rap6;1821;;a-ug;E;;;u;4.695;D -;
20.198C;House of Rapanu;;Rap6;1821;;s-su-[ak];Diri 1;;;u;;D -;
20.198E;House of Rapanu;;Rap6;1821;1.00;;;;;;frg.;D -;
20.199;House of Rapanu;;Rap6;1821;;;;;;;2.68;D 5369;
20.212;House of Rapanu;;Rap6;1811;0.60;s-ak;LeI;;;h;U5,n33;D 5380;
20.218;House of Rapanu;;Rap6;1811;0,60;s-su-ak;Hh 16-;;;u;M10,107;D 5387;
20.219;House of Rapanu;;Rap6;1811;;s-ak;Le;;;;U5,n44;D 5388;
20.226;House of Rapanu;;Rap6;1810;0.50;s-ak;J;;;u;U5,n82;D -;*
20.230;House of Rapanu;;Rap6;1811;0.60;s-su-ak;RSGT;;44;u;MSS75-;D 5395;
20.238;House of Rapanu;;Rap6;1821;1.00;s-ak;LeI;[Ap];;u;U5,n24;D 5402;*
20.245;House of Rapanu;;Rap6;1798;1.90;s-su;Hh 2;;44;;;D 5407;*
20.253;House of Rapanu;;Rap6;1811;0.60;s-su;Hh 8-;;;u;;D 5413;
20.[431];House of Rapanu;;Rap6;1789;1.00;s-ak;LeI;;;;;D -;
21.008A;House of Rapanu;;Rap6;1865;1.90;s-su;Hh 14-;;44;u;;D 5560;
21.008B;House of Rapanu;;Rap6;1865;;s-su;Hh 3-;;;u;;D 5561;
21.008C;House of Rapanu;;Rap6;1865;;s-su;Hh 11-;;;u;;D 5562;
20.180E+20.197A;House of Rapanu;;Rap5|Rap6;1855|1811;0.60;s-su;Hh 2;;;u;;D -;
20.426C+20.123+20.143A+20.185A+20.426E+20.185B+20.180A+20.180C+20.190A+20.190B+21.007B;House of Rapanu;;Rap5/7|Rap5;ib.|1845|1858|1855;1.50|1.30;s-su-ak-hu-ug;SaV;;;u;U5,nl37;D -|D 5294;*
20.161,16+20.160N+20.181D+20.196A+20.161D+20.181,9+21.005D+21.007+21.007H+21.063A;House of Rapanu;;Rap5/7|dump Rap|Rap7;1845|1838;1.60;s-su;Mea;;44;u;U5,nl47|U5,nl50|U5,nl43|U5,nl46|U5,nl45|U5,nl51;D -|D 5333|D 5367;*
20.143E;House of Rapanu;;Rap5/7;1845;;s-su;Hh 23;;;u;;D -;
20.143F;House of Rapanu;;Rap5/7;1845;;s-su;Lu 1;;;u;;D -;
20.143G;House of Rapanu;;Rap5/7;1845;;s-[su]?-ak;;;;;;D -;
20.143H+20.181C;House of Rapanu;;Rap5/7;1845;;s-su-ak;Hh 23;;;u;Mil,68(h);D -;
20.144A+20.144B+20.144C+20.144D+20.144E+20.144F+20.144G+20.144I+20.144J+20.185E+20.197C+20.211A+20.211B;House of Rapanu;;Rap5/7;1845;;s-ak;E;;;u;;D -|D 5316;
20.144H;House of Rapanu;;Rap5/7;1845;1.50;s-;;;;;;D -;
20.144L;House of Rapanu;;Rap5/7;1845;;s-;;;;;;D -;
20.144M;House of Rapanu;;Rap5/7;1845;;s-su;Hh 5-;;;u;;D -;
20.144N;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;D -;
20.144O;House of Rapanu;;Rap5/7;1845;;s-ak;E;;;u;U5,nlO4;D -;
20.144P;House of Rapanu;;Rap5/7;1845;;s-su;Hh Il-;;;u;;D -;
20.144Q;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;D -;
20.144R;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;D -;
20.144S;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;D -;
20.144T;House of Rapanu;;Rap5/7;1845;;s-[su]-ak;Lex;;;;;D -;
20.144U;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;D -;
20.144V+20.144W+20.144X+20.144Y;House of Rapanu;;Rap5/7;1845;;;?;;;;;D -;
20.160A;House of Rapanu;;Rap5/7;1845;1.50;s-su;Hh 14-;;;u;;;
20.160B+20.160C+20.160D;House of Rapanu;;Rap5/7;1845;;;;;;;;;
20.160E;House of Rapanu;;Rap5/7;1845;;s-su;Lex?;;;;;;
20.160F+20.160K;House of Rapanu;;Rap5/7;1845;;s-su-ak;Lu 2;;;u;;;
20.160Fbis;House of Rapanu;;Rap5/7;1845;;s-;;;;;;;
20.160G+20.160H+20.160L+20.430F;House of Rapanu;;Rap5/7;1845;;s-su;Lex;;;;;D -;
20.160I;House of Rapanu;;Rap5/7;1845;;s-;Lex;;;;;;
20.160J;House of Rapanu;;Rap5/7;1845;;s-su;Hh 3-;;;;;;
20.210B+20.160M;House of Rapanu;;Rap5/7;1845;;s-su;Hh 5-;;;u;;D -;
20.160P;House of Rapanu;;Rap5/7;1845;;;Lex?;;;;;;
20.[433A]+20.[433B]+20.[433C]+20.[433D];House of Rapanu;;Rap5/7;1824;1.00;s-;;;;;frgs.;D -;
21.001;House of Rapanu;;Rap5, T.VI;1900;2.10;s-su-ak;Izi, App;;;u;TEO l,f34b;D 5552;
21.002;House of Rapanu;;Rap5, T.VI;1900;;"a-ug;s-ak";E;;;u;4.704;D 5553;
21.003B;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 8-;;;u;;D -;
21.003C+21.004A+21.005B;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 11-|Hh Il-|Lex;;;u;;D -|D 5555;
21.003D(+)21.003E?;House of Rapanu;;Rap5, T.VI;1900;;s-su;SaS;;;u;U5,nl09;D -;
21.003F;House of Rapanu;;Rap5, T.VI;1900;;s-su;Lex;;;;;D -;
21.004B;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 14-;;;u;;D -;
21.004C;House of Rapanu;;Rap5, T.VI;1900;;s-su-ak;Hh 11-;;;u;;D -;
21.004D;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 13;;;u;;D -;
21.004E;House of Rapanu;;Rap5, T.VI;1900;;s-su;Lex;;;;;D -;
21.005A;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 3-;;;u;;D 5554;
21.005C;House of Rapanu;;Rap5, T.VI;1900;;s-su;Lex;;;;;D -;
21.006A;House of Rapanu;;Rap5, T.VI;1900;;s-su-ak;Izi, app.;;;u;;D 5556;
21.006B;House of Rapanu;;Rap5, T.VI;1900;;s-su-ak;Hh 16-;;;u;M10,49;D 5557;
21.006C;House of Rapanu;;Rap5, T.VI;1900;;s-ak;Le?;;;;U5,n8O;D -;
21.006D;House of Rapanu;;Rap5, T.VI;1900;;s-ak;J;;;;U5,n92;D -;
21.006E;House of Rapanu;;Rap5, T.VI;1900;;;Lex?;;;;;D -;
21.007A;House of Rapanu;;Rap5, T.VI;1900;;s-ak;J;;36;u;U5,n88;D 5558;**
21.007C;House of Rapanu;;Rap5, T.VI;1900;;s-ak;Le;;;;U5,n71;D -;
21.007D;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 14-;;;u;;D 5559;
21.007E;House of Rapanu;;Rap5, T.VI;1900;;s-su-ak;Lu 2;;;u;;D -;
21.007F;House of Rapanu;;Rap5, T.VI;1900;;s-su-ak;Lu;;;u;;D -;
21.007G;House of Rapanu;;Rap5, T.VI;1900;;s-su;Hh 13;;;u;;D -;
20.246;House of Rapanu;;Rap5 (wall);1899;0.30;s-ak;Le;;;;U5,n68;D 5408;
20.220;House of Rapanu;;Rap5 (N of T.VI);1908;0.50;s-ak;E;;;u;U5,nl06;D 5389;
20.013;House of Rapanu;;Rap5;1831;0.70;s-ak;Le;;;u;U5,n49;D 5276;
20.014;House of Rapanu;;Rap5;1844;1.40;s-su;Mea;;37;u;U5,nl49;D 5277;
20.032;House of Rapanu;;Rap5;1856;1.30;s-su;Hh 19;;12;u;M10,149;D 5289;
20.122;House of Rapanu;;Rap5;1890;1.20;s-su-ak;Diri 1;;;;;D 5293;
20.126A;House of Rapanu;;Rap5;1844;1.40;s-su;Hh 8-;;;u;;D 5297[A];
20.126B+20.126C;House of Rapanu;;Rap5;1844;;s-su;Hh 8-;;;u;;D 5297[B+C];
20.126D;House of Rapanu;;Rap5;1844;;s-su;;;;;;D -;
20.126E+20.126F;House of Rapanu;;Rap5;1844;;;;;;;frgs.;D -;
20.127A;House of Rapanu;;Rap5;1844;;s-su-ak;Hh 23;;;u;;D 5298[A];
20.127B;House of Rapanu;;Rap5;1844;;s-su;Hh 10;;;u;;D 5298 [B];
20.127C+20.154A+20.229+20.426+20.426,7;House of Rapanu;;Rap5;ib.|1904;0.80;s-su;Izi 2;;;u;;D -|D 5298[C];
20.128;House of Rapanu;;Rap5;1844;;s-su;Hh 5;;;u;;D 5299;
20.129A;House of Rapanu;;Rap5;1858;1.30;s-su;Hh 16-;;;u;Ml 0,37;D 5300;
20.129B;House of Rapanu;;Rap5;1858;;s-su;Hh 23;;;u;;;
20.130;House of Rapanu;;Rap5;1894;1.30;s-ak;Le;;;;U5,n46;D 5301;
20.131;House of Rapanu;;Rap5;1894;;s-ak;E;;;u;U5,nl01;D 5302;
20.133[A];House of Rapanu;;Rap5;1831;0.70;s-su-ak;Hh 1;;;u;;D 5305;*
20.133[B];House of Rapanu;;Rap5;1831;;;;;;;frg.;D -;
20.141;House of Rapanu;;Rap5;1831;0.70;s-su;Hh 21-;;;u;;D -;
20.152+20.141A;House of Rapanu;;Rap5;1831;;s-ak;Le;;;;;D 5313|D 5324;
20.141B;House of Rapanu;;Rap5;1831;;s-ak;Le;;;;;D 5314;
20.141C;House of Rapanu;;Rap5;1831;;s-ak;J?;;;u;;D 5315;
20.141D;House of Rapanu;;Rap5;1831;;;;;;;;D -;
20.156;House of Rapanu;;Rap5;1844;1.40;s-su;Hh 20-;;;u;Mil,169;D 5328;
20.161A+20.161B+20.161C;House of Rapanu;;Rap5;1893;1.30;s-;Lex;;;;;D -;
20.161E+20.188E+20.426,13;House of Rapanu;;Rap5;1893;;s-su-ak;Lu 1;;;u;;D -;
20.161,1;House of Rapanu;;Rap5;1893;;s-su-ak;Lex;;;;;D -;
20.161,2;House of Rapanu;;Rap5;1893;;s-su-ak;Lex;;;;;D -;
20.161,3+20.161,12+19+20.171,5+20.165A+20.161,19;House of Rapanu;;Rap5;1893;;s-su;Hh 5-;;;u;;D -|D 5337;
20.161,4;House of Rapanu;;Rap5;1893;;s-su;Hh 3-7;;;u;frg.;D -;
20.161,5;House of Rapanu;;Rap5;1893;;s-su;Hh 3-7;;;u;frg.;D -;
20.161,6;House of Rapanu;;Rap5;1893;;s-su;Hh23;;;u;;D -;
20.165D+20.161,7;House of Rapanu;;Rap5;1893;;s-su;Hh 23;;;u;;D -;
20.186,4+20.161,8;House of Rapanu;;Rap5;1893;;s-su;Lex;;;;;D -;
20.161,9;House of Rapanu;;Rap5;1893;;s-;?;;;;;D -;
20.161,10;House of Rapanu;;Rap5;1893;;s-su;Hh 13;;;u;;D -;
20.161,11;House of Rapanu;;Rap5;1893;;s-[su]-ak;Lex;;;;;D -;
20.161,12bis;House of Rapanu;;Rap5;1893;;s-;;;;;;D -;
20.161,13;House of Rapanu;;Rap5;1893;;s-su;Lex?;;;;;D -;
20.161,14;House of Rapanu;;Rap5;1893;;s-su;Hh 23;;;u;;D -;
20.161,15;House of Rapanu;;Rap5;1893;;s-[su]-ak;Lex?;;;;;D -;
20.161,17;House of Rapanu;;Rap5;1893;;s-su;Hh 23?;;;u;;D -;
20.161,18;House of Rapanu;;Rap5;1893;;s-su;Hh 3-;;;u;;D -;
20.197E[bis]+20.161,20;House of Rapanu;;Rap5;1893;;s-su;Hh 3-;;;u;;D -;
20.161,21;House of Rapanu;;Rap5;1893;;s-su;Hh 8-;;;u;;D -;
20.161,22;House of Rapanu;;Rap5;1893;;s-su;Hh 3-7;;;u;frg-;D -;
20.161,23+20.161,24+20.161,25+20.161,26+20.161,27+20.161,28+20.161,29+20.161,30+20.161,31+20.161,32+20.161,33+20.161,34;House of Rapanu;;Rap5;1893;;;;;;;frgs.;D -;
20.162;House of Rapanu;;Rap5;1893;;s-ak;LeI;;;am;U5,n37;D 5334;
20.163;House of Rapanu;;Rap5;1893;;s-;?;;;;U5,nl53;D 5335;
20.164;House of Rapanu;;Rap5;1893;;a-ug;Soh;;;u;5.17;D 5336;
20.222C+20.165C+20.228B+20.171,3+20.179C;House of Rapanu;;Rap5;1893;;s-su-ak;RSGT;;;u;MSS75-;D -;
20.167;House of Rapanu;;Rap5;1894;1.30;s-su;Hh 18-;;;u;M10,149;D 5340;
20.168+20.195P;House of Rapanu;;Rap5;1831;0.70;s-ak;LeI;N-;;u;U5,n21;D 5341;*
20.426,4+20.173B;House of Rapanu;;Rap5;1831;;s-su;Lu 1;;;u;;D -|D 5345;
20.174A;House of Rapanu;;Rap5;1844;1.40;s-ak;LeI;;;k?;U5,n25;D 5346;
20.174B;House of Rapanu;;Rap5;1844;1.40;s-su;Hh 2;;;;;;
20.174C;House of Rapanu;;Rap5;1844;;s-;Lex;;;;;;
20.180B;House of Rapanu;;Rap5;1855;;s-;?;;;;;D -;
20.180D;House of Rapanu;;Rap5;1855;;s-;?;;;;;D -;
20.180F;House of Rapanu;;Rap5;1855;;s-ak;E;;;u;U5,nl07;D -;
20.180G;House of Rapanu;;Rap5;1855;;s-su;Lex;;;;;D -;
20.158C;House of Rapanu;;Rap5;1855;;s-;;;;;U5,nl41;D -;
20.158D;House of Rapanu;;Rap5;1855;;;;;;;;D -;
20.186A;House of Rapanu;;Rap5;1886;1.00;s-su;Hh 11-;;;u;;D 5359;
20.186B;House of Rapanu;;Rap5;1886;;s-su;Hh 13;;;u;;D 5360;
20.186C(+)20.186D;House of Rapanu;;Rap5;1886;;s-ak;Le(I)?;;;;;D -;
20.186,1;House of Rapanu;;Rap5;1886;;s-su;Hh 20-;;;u;;D -;
20.186,2;House of Rapanu;;Rap5;1886;;s-su;Hh 20-;;;u;;D -;
20.186,3;House of Rapanu;;Rap5;1886;;s-su;SaS;;;u;;D -;
20.186,5;House of Rapanu;;Rap5;1886;;s-su;Hh 5-;;;u;;D -;
20.186,6;House of Rapanu;;Rap5;1886;;s-su;Hh 20-;;;u;;D -;
20.186,7;House of Rapanu;;Rap5;1886;;S-SU;Lex;;;;;D -;
20.186,8;House of Rapanu;;Rap5;1886;;s-;Lex?;;;;;D -;
20.186,9;House of Rapanu;;Rap5;1886;;s-ak?;?;;;;;D -;
20.186,10;House of Rapanu;;Rap5;1886;;s-;;;;;;D -;
20.186,11;House of Rapanu;;Rap5;1886;;;;;;;;D -;
20.186,12;House of Rapanu;;Rap5;1886;;s-su;Mea;;;u;;D -;
20.187B;House of Rapanu;;Rap5;1886;;s-su;Hh 3-;;;u;;D 5362;
20.188C;House of Rapanu;;Rap5;1886;;s-su;Hh 11-;;;u;;D -;
20.188D;House of Rapanu;;Rap5;1886;;;;;;;;D -;
20.195A;House of Rapanu;;Rap5;1831;0.70;s-su;G;;16;u;U5,nl20;D -;
20.195C;House of Rapanu;;Rap5;1831;;s-su;Lex?;;;;;D -;
20.195D;House of Rapanu;;Rap5;1831;;s-su;Lex?;;;;;D -;
20.195E;House of Rapanu;;Rap5;1831;;s-su-ak;Izi 1;;;u;;D -;
20.195F;House of Rapanu;;Rap5;1831;;s-;;;;;;D -;
20.195G;House of Rapanu;;Rap5;1831;;s-su;Hh 23;;;u;;D -;
20.195H;House of Rapanu;;Rap5;1831;;s-su;Hh 11-;;;u;;D -;
20.195I;House of Rapanu;;Rap5;1831;;s-su;Hh 10;;;u;;D -;
20.195J;House of Rapanu;;Rap5;1831;;s-;Lex?;;;;;D -;
20.195K;House of Rapanu;;Rap5;1831;;s-su;Hh 1?;;;;;D -;
20.195L;House of Rapanu;;Rap5;1831;;s-su;Hh 14;;;u;;D -;
20.195M;House of Rapanu;;Rap5;1831;;s-su;Hh 8-;;;u;;D -;
20.195N;House of Rapanu;;Rap5;1831;;s-su;G;;;u;;D -;
20.195O;House of Rapanu;;Rap5;1831;;s-;;;;;;D -;
20.195Q;House of Rapanu;;Rap5;1831;;s-;Lex?;;;;;D -;
20.195S;House of Rapanu;;Rap5;1831;;;;;;;;D -;
20.020;House of Rapanu;;Rap5;1866;1.50;s-ak;E;;;u;U5,n97;D 5283;**
20.210A;House of Rapanu;;Rap5;1855;1.50;s-su;Hh 8-;;;u;;D -;
20.210C;House of Rapanu;;Rap5;1855;1.50;s-ak;Lex?;;;;;D -;
20.215;House of Rapanu;;Rap5;1855;1.50;s-su;Sal;;;u;AS16.31-;D 5384;
20.216;House of Rapanu;;Rap5;1855;;s-ak;LeI;;;k?;U5,n35;D 5385;
20.222A;House of Rapanu;;Rap5;1844;;s-su;Hh 14-;;;u;Ml 0,37;D-;
20.222B;House of Rapanu;;Rap5;1844;;s-su;Hh 18-?;;;u;;D -;
20.222D;House of Rapanu;;Rap5;1844;;s-su;Hh 5-;;;u;;D -;
20.222E;House of Rapanu;;Rap5;1844;;s-su;Hh 5-;;;u;;D -;
20.222F;House of Rapanu;;Rap5;1844;;;;;;;frg.;D -;
20.223;House of Rapanu;;Rap5;1844;;a-ug;E;;;u;4.698;D 5391;
20.224;House of Rapanu;;Rap5;1858;1.30;s-su-[ak];Lex;;;u;;D 5392;
20.225;House of Rapanu;;Rap5;1844;1.40;s-ak;Le;;;;U5,n45;D -;
20.232;House of Rapanu;;Rap5;1884;1.10;s-ak;Le;;;;U5,n58;D 5397;
20.233;House of Rapanu;;Rap5;1834+1837;1.50, 1.40;s-su-ak;Lex;;;;;D 5398;
20.234B;House of Rapanu;;Rap5;1782;;s-su;Hh 13;;;u;;D -;
20.237;House of Rapanu;;Rap5;1893;1.30;s-ak;LeI;;;k?;U5,n31;D 5401;
20.241A+20.241B;House of Rapanu;;Rap5;1870;0.40;s-su-ak;RSGT;;;u;MSS75-;D -;
20.241C;House of Rapanu;;Rap5;1870;;s-ak;J?;;;u;U5,n93;D -;
20.250;House of Rapanu;;Rap5;1906;0.30;;;;;;;;
20.251B;House of Rapanu;;Rap5;1906;;s-ak;J?;;;u?;U5,n94;D -;
20.251C;House of Rapanu;;Rap5;1906;;s-ak;E ;;;u?;U5,nl08;D -;
20.251D;House of Rapanu;;Rap5;1906;;s-su?;Lex;;;;;D -;
20.425;House of Rapanu;;Rap5;1844;1.40;s-ak;E;;;u;U5,n99;D 5415;
20.426A;House of Rapanu;;Rap5;1844;;s-su-ak;Lex;;;u;U5,nl39;D -;
20.426F;House of Rapanu;;Rap5;1844;;s-hu?;SaV?;;;;U5,nl40;D -;
20.426I;House of Rapanu;;Rap5;1844;;s-su;Hh 13;;;u;;D -;
20.426J;House of Rapanu;;Rap5;1844;;s-su;Hh 8-;;;u;;D -;
20.426,1;House of Rapanu;;Rap5;1844;;s-su;Hh 14-;;;u;;D -;
20.426,3;House of Rapanu;;Rap5;1844;;s-su-ak;Hh 13;;;u;;D -;
20.426,5;House of Rapanu;;Rap5;1844;;s-su;Hh 23;;;u;;D -;
20.426,6;House of Rapanu;;Rap5;1844;;;;;;;;D -;
20.426,8;House of Rapanu;;Rap5;1844;;s-su;Hh 10;;;u;;D -;
20.426,9;House of Rapanu;;Rap5;1844;;s-su;Hh 1;;;u;;D -;
20.426,10;House of Rapanu;;Rap5;1844;;s-ak;Lex?;;;;;D -;
20.426,11;House of Rapanu;;Rap5;1844;;s-;Lex;;;;;D -;
20.426,12;House of Rapanu;;Rap5;1844;;s-su;Hh 1;;;u;;D -;
20.426,15+20.426,16+20.426,17+20.426,18+20.426,19+20.426,20;House of Rapanu;;Rap5;1844;;;;;;;frgs.;D -;
20.426,21;House of Rapanu;;Rap5;1844;;a-ug;E;;;u;4.703;D -;
20.428;House of Rapanu;;Rap5;1844;1.40;s-su;Hh 11-;;;u;;D 5417;
20.429;House of Rapanu;;Rap5;1844;1.40;s-su-ak-hu-[ug];SaV;;;u;;D 5418;
20.430A;House of Rapanu;;Rap5;1858;1.30;;;;;;;D -;
20.430B;House of Rapanu;;Rap5;1858;;s-su;Lu2;;;u;;D -;
20.430C;House of Rapanu;;Rap5;1858;;s-su;Lu 1;;;u;;D -;
20.430D;House of Rapanu;;Rap5;1858;;s-su;Hh 3-7;;;u;*g-;D -;
20.430E;House of Rapanu;;Rap5;1858;;s-su;Lex?;;;;;D -;
20.430G;House of Rapanu;;Rap5;1858;;s-su-ak;Lex;;;;;D -;
20.430H+20.430I+20.430J+20.430K+20.430L+20.430M+20.430N+20.430O+20.430P+20.430Q;House of Rapanu;;Rap5;1858;;;;;;;frgs.;D -;
20.[432];House of Rapanu;;Rap5;1856;1.30;s-;;;;;fig-;D -;
20.[434A]+20.[434B]+20.[434C]+20.[434D];House of Rapanu;;Rap5;1844;1.40;s-;;;;;frgs.;D -;
20.[435A]+20.[435B]+20.[435C]+20.[435D]+20.[435E]+20.[435F]+20.[435G]+20.[435H]+20.[435I]+20.[435J]+20.[435K]+20.[435L]+20.[435M]+20.[435N]+20.[435O]+20.[435P]+20.[435Q]+20.[435R]+20.[435S]+20.[435T]+20.[435U]+20.[435V]+20.[435W]+20.[435X]+20.[435,1]+20.[435,2]+20.[435,3]+20.[435,4]+20.[435,5]+20.[435,6]+20.[435,7]+20.[435,8]+20.[435,9]+20.[435,10];House of Rapanu;;Rap5;1844;;;;;;;frgs. ;D -;
20.[436A]+20.[436B]+20.[436C]+20.[436D]+20.[436E]+20.[436F]+20.[436G]+20.[436H]+20.[436I]+20.[436J]+20.[436K]+20.[436L]+20.[436M]+20.[436N]+20.[436O]+20.[436P]+20.[436Q]+20.[436R]+20.[436S]+20.[436T]+20.[436,1]+20.[436,2]+20.[436,3]+20.[436,4]+20.[436,5];House of Rapanu;;Rap5;1858;1.30;s-;;;;;frgs. ;D -;
20.[437A]+20.[437B];House of Rapanu;;Rap5;1866;1.50;s-;;;;;;D -;
20.[438];House of Rapanu;;Rap5;1844;1.40;s-ak;Le;;;;;D -;
20.208A;House of Rapanu;;Rap4;1769;0.50;s-su;Hh 18-;;;u;;D 5378;
20.208B;House of Rapanu;;Rap4;1769;;s-ak;E?;;;u;U5,nl57;D -;
20.209;House of Rapanu;;Rap4;1769;;a-ug;E;;;u;4.697;D 5379;
20.214A;House of Rapanu;;Rap4;1779;0.60;s-su-ak;RSGT;;;u;;D 5382;
20.214B;House of Rapanu;;Rap4;1779;;s-ak;J;;;u;U5,n89;D -;
20.214C;House of Rapanu;;Rap4;1779;;s-su-ak;Hh 13;;;u;;D -;
20.214D;House of Rapanu;;Rap4;1779;;s-ak;Le;;;;U5,n79;D 5383;
20.235;House of Rapanu;;Rap4;1780;0.70;s-ak;J;;;u;U5,n84;D 5399;*
20.254A+20.254B;House of Rapanu;;Rap3 (wall);1868;0.25;;;;;;;D -;
20.121+20.121A;House of Rapanu;;Rap3;1871;0.50;s-su;G;;;ba?;U5,nll9;D 5292;
20.426B+20.149+20.426G+20.426D+20.201G;House of Rapanu;;Rap3;ib.|1871;0.50;s-su-ak-hu-ug;SaV;;;u;U5,nl30|U5,nl38|U5,nl34|U5,nl31;D 5321|D -;*
20.150;House of Rapanu;;Rap3;1871;;s-ak;Le;;;;U5,n56;D 5322;
20.151;House of Rapanu;;Rap3;1871;;s-ak;Le;;;;U5,n50;D 5323;
20.231;House of Rapanu;;Rap29;1772;0.60;s-ak;?;;;;U5,nl58;D 5396;
20.134;House of Rapanu;;Rap26;1781;0.70;s-su-ak;Izi 1;;;u;;D 5306;
20.139;House of Rapanu;;Rap26;1771;0.60;s-su;SaS, Sal;;;u;;D 5311;
20.184;House of Rapanu;;Rap26;1781;0.70;s-ak;LeI;A-2;;u;U5,n28;D 5358;*
20.204+20.213;House of Rapanu;;Rap26;1781;0.70;s-su;Izi 1;;;u;;D 5373|D 5381;
20.227;House of Rapanu;;Rap26;1764;0.50;s-ak;Le;;;;U5,n57;D 5393;
20.157;House of Rapanu;;Rap25;1782;0.80;a-ug;E;;;u;4.693;D 5329;
20.242;House of Rapanu;;Rap25;1766;0.50;s-ak;Le;;;;U5,n72;D -;
20.016;House of Rapanu;;Rap24;1720;1.50;s-ak;LeI;;;q;U5,n38;D 5279;
20.221;House of Rapanu;;Rap24;1742;1.00;s-su-ak;Ng;;;u;;D 5390;
20.140;House of Rapanu;;Rap2;1844;1.40;s-su;Hh 8-;;;u;;D 5312;
20.025;House of Rapanu;;Rap17.21;1842;1.40;s-cy;;;;;U6.379-;D 5288;
20.008;House of Rapanu;;Rap10;1853;1.80;a-ug;E;;;u;4.689;D 5271;
20.143C+20.132A;House of Rapanu;;Rap10;ib.|1847;1.60;s-su;Lu 1;;;u;;D -|D 5303;
